epoch,acc_train,acc_test,best_acc_test
0.000000,0.400000,0.433333,0.433333
10.000000,0.500000,0.633333,0.633333
20.000000,0.800000,0.666667,0.666667
30.000000,0.900000,0.666667,0.666667
40.000000,0.900000,0.800000,0.800000
50.000000,1.000000,0.833333,0.833333
60.000000,1.000000,0.866667,0.866667
70.000000,0.900000,0.866667,0.866667
80.000000,1.000000,0.866667,0.866667
90.000000,1.000000,0.900000,0.900000
100.000000,1.000000,0.866667,0.900000
110.000000,1.000000,0.866667,0.900000
120.000000,1.000000,0.933333,0.933333
130.000000,1.000000,0.866667,0.933333
140.000000,1.000000,0.933333,0.933333
150.000000,0.900000,0.933333,0.933333
160.000000,1.000000,0.933333,0.933333
170.000000,0.800000,0.866667,0.933333
180.000000,1.000000,0.900000,0.933333
190.000000,1.000000,0.933333,0.933333
200.000000,1.000000,0.900000,0.933333
210.000000,1.000000,0.900000,0.933333
220.000000,1.000000,0.866667,0.933333
230.000000,1.000000,0.900000,0.933333
240.000000,1.000000,0.866667,0.933333
250.000000,1.000000,0.900000,0.933333
260.000000,1.000000,0.933333,0.933333
270.000000,1.000000,0.900000,0.933333
280.000000,0.900000,0.933333,0.933333
290.000000,0.900000,0.933333,0.933333
300.000000,1.000000,0.900000,0.933333
310.000000,0.900000,0.933333,0.933333
320.000000,1.000000,0.933333,0.933333
330.000000,0.900000,0.966667,0.966667
340.000000,1.000000,0.966667,0.966667
350.000000,1.000000,0.933333,0.966667
360.000000,1.000000,0.966667,0.966667
370.000000,1.000000,0.966667,0.966667
380.000000,1.000000,0.900000,0.966667
390.000000,1.000000,0.933333,0.966667
400.000000,1.000000,0.900000,0.966667
410.000000,0.900000,0.933333,0.966667
420.000000,0.900000,0.900000,0.966667
430.000000,1.000000,0.900000,0.966667
440.000000,1.000000,0.900000,0.966667
450.000000,1.000000,0.900000,0.966667
460.000000,1.000000,0.900000,0.966667
470.000000,1.000000,0.933333,0.966667
480.000000,0.900000,0.966667,0.966667
490.000000,1.000000,0.933333,0.966667
500.000000,1.000000,0.933333,0.966667
510.000000,1.000000,0.966667,0.966667
520.000000,1.000000,0.933333,0.966667
530.000000,0.900000,0.933333,0.966667
540.000000,1.000000,0.966667,0.966667
550.000000,1.000000,0.933333,0.966667
560.000000,1.000000,0.933333,0.966667
570.000000,1.000000,0.933333,0.966667
580.000000,1.000000,0.900000,0.966667
590.000000,1.000000,0.900000,0.966667
600.000000,1.000000,0.933333,0.966667
610.000000,1.000000,0.900000,0.966667
620.000000,1.000000,0.933333,0.966667
630.000000,1.000000,0.966667,0.966667
640.000000,1.000000,0.966667,0.966667
650.000000,1.000000,0.900000,0.966667
660.000000,1.000000,0.933333,0.966667
670.000000,1.000000,0.900000,0.966667
680.000000,1.000000,0.966667,0.966667
690.000000,1.000000,0.933333,0.966667
700.000000,1.000000,0.900000,0.966667
710.000000,1.000000,0.966667,0.966667
720.000000,1.000000,0.933333,0.966667
730.000000,1.000000,0.900000,0.966667
740.000000,1.000000,0.933333,0.966667
750.000000,1.000000,0.900000,0.966667
760.000000,1.000000,0.900000,0.966667
770.000000,1.000000,0.900000,0.966667
780.000000,1.000000,0.966667,0.966667
790.000000,1.000000,0.900000,0.966667
800.000000,1.000000,0.933333,0.966667
810.000000,1.000000,0.933333,0.966667
820.000000,0.900000,0.966667,0.966667
830.000000,1.000000,0.933333,0.966667
840.000000,1.000000,0.966667,0.966667
850.000000,0.800000,0.933333,0.966667
860.000000,1.000000,0.933333,0.966667
870.000000,1.000000,0.933333,0.966667
880.000000,1.000000,0.966667,0.966667
890.000000,1.000000,0.933333,0.966667
900.000000,1.000000,0.933333,0.966667
910.000000,0.900000,0.900000,0.966667
920.000000,1.000000,0.900000,0.966667
930.000000,0.900000,0.933333,0.966667
940.000000,1.000000,0.933333,0.966667
950.000000,0.800000,0.933333,0.966667
960.000000,1.000000,0.900000,0.966667
970.000000,1.000000,0.900000,0.966667
980.000000,1.000000,0.933333,0.966667
990.000000,1.000000,0.900000,0.966667
1000.000000,1.000000,0.966667,0.966667
1010.000000,1.000000,0.900000,0.966667
1020.000000,1.000000,0.933333,0.966667
1030.000000,1.000000,0.966667,0.966667
1040.000000,1.000000,0.900000,0.966667
1050.000000,1.000000,0.933333,0.966667
1060.000000,1.000000,0.933333,0.966667
1070.000000,1.000000,0.900000,0.966667
1080.000000,1.000000,0.933333,0.966667
1090.000000,1.000000,0.900000,0.966667
1100.000000,1.000000,0.933333,0.966667
1110.000000,0.900000,0.933333,0.966667
1120.000000,1.000000,0.933333,0.966667
1130.000000,1.000000,0.933333,0.966667
1140.000000,1.000000,0.900000,0.966667
1150.000000,1.000000,0.900000,0.966667
1160.000000,1.000000,0.966667,0.966667
1170.000000,1.000000,0.933333,0.966667
1180.000000,1.000000,0.933333,0.966667
1190.000000,1.000000,0.933333,0.966667
1200.000000,1.000000,0.933333,0.966667
1210.000000,1.000000,0.933333,0.966667
1220.000000,1.000000,0.900000,0.966667
1230.000000,1.000000,0.900000,0.966667
1240.000000,0.900000,0.966667,0.966667
1250.000000,1.000000,0.966667,0.966667
1260.000000,1.000000,0.933333,0.966667
1270.000000,1.000000,0.933333,0.966667
1280.000000,1.000000,0.900000,0.966667
1290.000000,0.900000,0.966667,0.966667
1300.000000,0.800000,0.933333,0.966667
1310.000000,1.000000,0.900000,0.966667
1320.000000,1.000000,0.900000,0.966667
1330.000000,1.000000,0.966667,0.966667
1340.000000,1.000000,0.900000,0.966667
1350.000000,1.000000,0.900000,0.966667
1360.000000,1.000000,0.933333,0.966667
1370.000000,1.000000,0.933333,0.966667
1380.000000,1.000000,0.966667,0.966667
1390.000000,0.900000,0.900000,0.966667
1400.000000,1.000000,0.900000,0.966667
1410.000000,1.000000,0.933333,0.966667
1420.000000,0.900000,0.933333,0.966667
1430.000000,1.000000,0.933333,0.966667
1440.000000,1.000000,0.933333,0.966667
1450.000000,1.000000,0.966667,0.966667
1460.000000,1.000000,0.933333,0.966667
1470.000000,1.000000,0.933333,0.966667
1480.000000,1.000000,0.933333,0.966667
1490.000000,0.900000,0.933333,0.966667
1500.000000,1.000000,0.900000,0.966667
1510.000000,1.000000,0.966667,0.966667
1520.000000,1.000000,0.933333,0.966667
1530.000000,1.000000,0.966667,0.966667
1540.000000,0.900000,0.966667,0.966667
1550.000000,0.900000,0.966667,0.966667
1560.000000,1.000000,0.933333,0.966667
1570.000000,1.000000,0.933333,0.966667
1580.000000,1.000000,0.900000,0.966667
1590.000000,1.000000,0.933333,0.966667
1600.000000,1.000000,0.966667,0.966667
1610.000000,1.000000,0.933333,0.966667
1620.000000,1.000000,0.966667,0.966667
1630.000000,1.000000,0.966667,0.966667
1640.000000,1.000000,0.933333,0.966667
1650.000000,0.800000,0.933333,0.966667
1660.000000,1.000000,0.966667,0.966667
1670.000000,1.000000,0.933333,0.966667
1680.000000,1.000000,0.933333,0.966667
1690.000000,1.000000,0.966667,0.966667
1700.000000,1.000000,0.933333,0.966667
1710.000000,1.000000,0.966667,0.966667
1720.000000,1.000000,0.933333,0.966667
1730.000000,0.900000,0.900000,0.966667
1740.000000,1.000000,0.900000,0.966667
1750.000000,1.000000,0.933333,0.966667
1760.000000,1.000000,0.933333,0.966667
1770.000000,0.900000,0.900000,0.966667
1780.000000,1.000000,0.966667,0.966667
1790.000000,1.000000,0.933333,0.966667
1800.000000,1.000000,0.966667,0.966667
1810.000000,1.000000,0.933333,0.966667
1820.000000,1.000000,0.966667,0.966667
1830.000000,0.900000,0.933333,0.966667
1840.000000,1.000000,0.966667,0.966667
1850.000000,1.000000,0.933333,0.966667
1860.000000,1.000000,0.933333,0.966667
1870.000000,1.000000,0.966667,0.966667
1880.000000,1.000000,0.933333,0.966667
1890.000000,1.000000,0.933333,0.966667
1900.000000,1.000000,0.900000,0.966667
1910.000000,1.000000,0.933333,0.966667
1920.000000,0.900000,0.933333,0.966667
1930.000000,1.000000,0.933333,0.966667
1940.000000,1.000000,0.933333,0.966667
1950.000000,1.000000,0.933333,0.966667
1960.000000,1.000000,0.933333,0.966667
1970.000000,1.000000,0.933333,0.966667
1980.000000,1.000000,0.933333,0.966667
1990.000000,0.800000,0.933333,0.966667
2000.000000,1.000000,0.966667,0.966667
2010.000000,1.000000,0.933333,0.966667
2020.000000,1.000000,0.933333,0.966667
2030.000000,1.000000,0.933333,0.966667
2040.000000,1.000000,0.966667,0.966667
2050.000000,0.800000,0.900000,0.966667
2060.000000,1.000000,0.900000,0.966667
2070.000000,0.900000,0.966667,0.966667
2080.000000,1.000000,0.933333,0.966667
2090.000000,1.000000,0.900000,0.966667
2100.000000,1.000000,0.966667,0.966667
2110.000000,1.000000,0.933333,0.966667
2120.000000,1.000000,0.966667,0.966667
2130.000000,1.000000,0.966667,0.966667
2140.000000,1.000000,0.900000,0.966667
2150.000000,1.000000,0.933333,0.966667
2160.000000,1.000000,0.966667,0.966667
2170.000000,1.000000,0.933333,0.966667
2180.000000,1.000000,0.933333,0.966667
2190.000000,1.000000,0.933333,0.966667
2200.000000,1.000000,0.933333,0.966667
2210.000000,1.000000,0.900000,0.966667
2220.000000,0.800000,0.966667,0.966667
2230.000000,1.000000,0.966667,0.966667
2240.000000,1.000000,0.933333,0.966667
2250.000000,1.000000,0.933333,0.966667
2260.000000,0.900000,0.966667,0.966667
2270.000000,1.000000,0.966667,0.966667
2280.000000,1.000000,0.933333,0.966667
2290.000000,0.900000,0.900000,0.966667
2300.000000,0.900000,0.900000,0.966667
2310.000000,1.000000,0.933333,0.966667
2320.000000,1.000000,0.933333,0.966667
2330.000000,1.000000,0.966667,0.966667
2340.000000,1.000000,0.933333,0.966667
2350.000000,1.000000,0.933333,0.966667
2360.000000,1.000000,0.933333,0.966667
2370.000000,0.900000,0.933333,0.966667
2380.000000,1.000000,0.933333,0.966667
2390.000000,1.000000,0.933333,0.966667
2400.000000,1.000000,0.933333,0.966667
2410.000000,1.000000,0.966667,0.966667
2420.000000,1.000000,0.933333,0.966667
2430.000000,0.900000,0.933333,0.966667
2440.000000,1.000000,0.900000,0.966667
2450.000000,1.000000,0.933333,0.966667
2460.000000,1.000000,0.933333,0.966667
2470.000000,1.000000,0.933333,0.966667
2480.000000,1.000000,0.933333,0.966667
2490.000000,1.000000,0.933333,0.966667
2500.000000,1.000000,0.900000,0.966667
2510.000000,0.900000,0.933333,0.966667
2520.000000,0.900000,0.933333,0.966667
2530.000000,0.800000,0.966667,0.966667
2540.000000,1.000000,0.966667,0.966667
2550.000000,1.000000,0.933333,0.966667
2560.000000,1.000000,0.933333,0.966667
2570.000000,1.000000,0.966667,0.966667
2580.000000,1.000000,0.933333,0.966667
2590.000000,1.000000,0.933333,0.966667
2600.000000,1.000000,0.966667,0.966667
2610.000000,1.000000,0.933333,0.966667
2620.000000,1.000000,0.966667,0.966667
2630.000000,1.000000,0.933333,0.966667
2640.000000,1.000000,0.933333,0.966667
2650.000000,1.000000,0.933333,0.966667
2660.000000,1.000000,0.933333,0.966667
2670.000000,1.000000,0.933333,0.966667
2680.000000,1.000000,0.966667,0.966667
2690.000000,1.000000,0.933333,0.966667
2700.000000,0.900000,0.966667,0.966667
2710.000000,1.000000,0.933333,0.966667
2720.000000,1.000000,0.933333,0.966667
2730.000000,1.000000,0.933333,0.966667
2740.000000,1.000000,0.966667,0.966667
2750.000000,1.000000,0.933333,0.966667
2760.000000,1.000000,0.933333,0.966667
2770.000000,1.000000,0.900000,0.966667
2780.000000,1.000000,0.933333,0.966667
2790.000000,1.000000,0.933333,0.966667
2800.000000,1.000000,0.966667,0.966667
2810.000000,1.000000,0.966667,0.966667
2820.000000,1.000000,0.933333,0.966667
2830.000000,0.900000,0.900000,0.966667
2840.000000,1.000000,0.933333,0.966667
2850.000000,1.000000,0.933333,0.966667
2860.000000,1.000000,0.933333,0.966667
2870.000000,1.000000,0.966667,0.966667
2880.000000,1.000000,0.966667,0.966667
2890.000000,1.000000,0.966667,0.966667
2900.000000,1.000000,0.933333,0.966667
2910.000000,0.900000,0.933333,0.966667
2920.000000,1.000000,0.933333,0.966667
2930.000000,1.000000,0.933333,0.966667
2940.000000,1.000000,0.933333,0.966667
2950.000000,1.000000,0.933333,0.966667
2960.000000,1.000000,0.933333,0.966667
2970.000000,1.000000,0.933333,0.966667
2980.000000,1.000000,0.966667,0.966667
2990.000000,1.000000,0.933333,0.966667
3000.000000,1.000000,0.966667,0.966667
